,Kingdom,Phylum,Class,Order,Family,Genus,Species,name,p0.00005.r0.6,p0.00001.r0.6,p0.000005.r0.6,p0.000001.r0.6,p0.00005.r0.8,p0.00001.r0.8,p0.000005.r0.8,p0.000001.r0.8
Botu00382,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Botu00382,1,0,0,0,1,0,0,0
Botu00455,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),Bryobacter,NA,Botu00455,1,1,1,1,1,1,1,1
Botu00459,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,JG30-KF-AS9,JG30-KF-AS9_ge,NA,Botu00459,1,0,0,0,1,0,0,0
Botu00508,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00508,1,0,0,1,1,0,0,1
Botu01092,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonadaceae_unclassified,NA,Botu01092,1,1,0,0,1,1,0,0
Botu01161,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,NA,Botu01161,1,0,0,0,1,0,0,0
Botu02116,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured_fa,uncultured_ge,NA,Botu02116,1,0,0,0,1,0,0,0
Botu00082,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu00082,1,0,0,0,1,0,0,0
Botu00124,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu00124,1,1,1,1,1,1,1,1
Botu01099,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,NA,Botu01099,1,0,0,0,1,0,0,0
Botu00068,Bacteria,Chloroflexi,AD3,AD3_or,AD3_fa,AD3_ge,NA,Botu00068,0,1,1,0,0,1,1,0
Botu00103,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriales_unclassified,Acidobacteriales_unclassified,NA,Botu00103,0,1,1,1,0,1,1,1
Botu00178,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter,NA,Botu00178,0,1,0,0,0,1,0,0
Botu00319,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,Botu00319,0,1,1,0,0,1,1,0
Botu00320,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Botu00320,0,1,1,1,0,1,1,1
Botu00374,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacterales_unclassified,Solirubrobacterales_unclassified,NA,Botu00374,0,1,0,1,0,1,0,1
Botu00785,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),Bryobacter,NA,Botu00785,0,1,1,1,0,1,1,1
Botu00942,Bacteria,Chloroflexi,Ktedonobacteria,C0119,C0119_fa,C0119_ge,NA,Botu00942,0,1,0,0,0,1,0,0
Botu01060,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group_ge,NA,Botu01060,0,1,0,0,0,1,0,0
Botu01227,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,SC-I-84_ge,NA,Botu01227,0,1,1,1,0,1,1,1
Botu01423,Bacteria,Chloroflexi,OLB14,OLB14_or,OLB14_fa,OLB14_ge,NA,Botu01423,0,1,1,0,0,1,1,0
Botu02299,Bacteria,Actinobacteria,Acidimicrobiia,IMCC26256,IMCC26256_fa,IMCC26256_ge,NA,Botu02299,0,1,0,0,0,1,0,0
Botu00005,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae_ge,NA,Botu00005,0,1,1,1,0,1,1,1
Botu00035,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu00035,0,1,1,0,0,1,1,0
Botu00436,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellales_unclassified,Gaiellales_unclassified,NA,Botu00436,0,1,0,0,0,1,0,0
Botu00041,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,PLTA13_fa,PLTA13_ge,NA,Botu00041,0,1,1,0,0,1,1,0
Botu00442,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00442,0,1,1,1,0,1,1,1
Botu00098,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge,NA,Botu00098,0,1,0,0,0,1,0,0
Botu00797,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group_ge,NA,Botu00797,0,1,0,0,0,1,0,0
Botu01403,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,uncultured,NA,Botu01403,0,0,1,0,0,0,1,0
Botu00252,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,NA,Botu00252,0,0,1,0,0,0,1,0
Botu00614,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriales_unclassified,Acidobacteriales_unclassified,NA,Botu00614,0,0,1,1,0,0,1,1
Botu00998,Bacteria,Chloroflexi,Gitt-GS-136,Gitt-GS-136_or,Gitt-GS-136_fa,Gitt-GS-136_ge,NA,Botu00998,0,0,1,0,0,0,1,0
Botu00814,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00814,0,0,1,0,0,0,1,0
Otu00051,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_alternata,Otu00051,0,0,1,1,0,0,1,1
Botu00259,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,uncultured,uncultured_ge,NA,Botu00259,0,0,0,1,0,0,0,1
Botu00283,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Candidatus_Alysiosphaera,NA,Botu00283,0,0,0,1,0,0,0,1
Botu01579,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,SC-I-84_ge,NA,Botu01579,0,0,0,1,0,0,0,1
Botu00308,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge,NA,Botu00308,0,0,0,1,0,0,0,1
Botu00642,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,WD2101_soil_group_ge,NA,Botu00642,0,0,0,1,0,0,0,1
