,Kingdom,Phylum,Class,Order,Family,Genus,Species
NA.16,NA,NA,NA,NA,NA,NA,NA
NA.17,NA,NA,NA,NA,NA,NA,NA
NA.18,NA,NA,NA,NA,NA,NA,NA
NA.19,NA,NA,NA,NA,NA,NA,NA
NA.20,NA,NA,NA,NA,NA,NA,NA
NA.21,NA,NA,NA,NA,NA,NA,NA
NA.22,NA,NA,NA,NA,NA,NA,NA
NA.23,NA,NA,NA,NA,NA,NA,NA
Otu0003,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Phaeomoniellales,o__Phaeomoniellales_unclassified,o__Phaeomoniellales_unclassified,o__Phaeomoniellales_unclassified
NA.24,NA,NA,NA,NA,NA,NA,NA
NA.25,NA,NA,NA,NA,NA,NA,NA
Otu0057,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Dothideales,f__Aureobasidiaceae,g__Aureobasidium,s__Aureobasidium_pullulans
NA.26,NA,NA,NA,NA,NA,NA,NA
NA.27,NA,NA,NA,NA,NA,NA,NA
Otu0050,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Rhinocladiella,s__Rhinocladiella_sp
NA.28,NA,NA,NA,NA,NA,NA,NA
NA.29,NA,NA,NA,NA,NA,NA,NA
NA.30,NA,NA,NA,NA,NA,NA,NA
Botu0145,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,NA
NA.31,NA,NA,NA,NA,NA,NA,NA
Otu0206,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,o__Pleosporales_unclassified,o__Pleosporales_unclassified,o__Pleosporales_unclassified
NA.32,NA,NA,NA,NA,NA,NA,NA
NA.33,NA,NA,NA,NA,NA,NA,NA
Otu0014,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Paraconiothyrium,g__Paraconiothyrium_unclassified
Otu0176,k__Fungi,p__Ascomycota,c__Lecanoromycetes,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified,c__Lecanoromycetes_unclassified
Botu0035,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA
NA.34,NA,NA,NA,NA,NA,NA,NA
Botu0094,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,1174-901-12,NA
Botu0121,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
NA.35,NA,NA,NA,NA,NA,NA,NA
Otu0002,k__Fungi,p__Ascomycota,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified,p__Ascomycota_unclassified
NA.36,NA,NA,NA,NA,NA,NA,NA
Otu0071,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,o__Pleosporales_unclassified,o__Pleosporales_unclassified,o__Pleosporales_unclassified
Otu0177,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,o__Capnodiales_unclassified,o__Capnodiales_unclassified,o__Capnodiales_unclassified
Botu0026,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola,NA
NA.37,NA,NA,NA,NA,NA,NA,NA
Otu0252,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,o__Capnodiales_unclassified,o__Capnodiales_unclassified,o__Capnodiales_unclassified
Otu0027,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Trichomeriaceae,f__Trichomeriaceae_unclassified,f__Trichomeriaceae_unclassified
Botu0209,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,NA
NA.38,NA,NA,NA,NA,NA,NA,NA
Otu0049,k__Fungi,p__Ascomycota,c__Leotiomycetes,c__Leotiomycetes_unclassified,c__Leotiomycetes_unclassified,c__Leotiomycetes_unclassified,c__Leotiomycetes_unclassified
NA.39,NA,NA,NA,NA,NA,NA,NA
NA.40,NA,NA,NA,NA,NA,NA,NA
NA.41,NA,NA,NA,NA,NA,NA,NA
NA.42,NA,NA,NA,NA,NA,NA,NA
Botu0004,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderiaceae_unclassified,NA
NA.43,NA,NA,NA,NA,NA,NA,NA
